County,Commute_Distance
Jackson,20
Jackson,11.1
Jackson,18.6
Jackson,22.7
Jackson,5.1
Jackson,12.6
Jackson,18.8
Jackson,15.3
Jackson,17.9
Jackson,13.5
Jackson,16.6
Jackson,15.5
Jackson,21.5
Jackson,17.3
Jackson,17.7
Jackson,14.3
Jackson,14
Jackson,14.3
Jackson,18
Jackson,14.3
Dubuque,11.9
Dubuque,18.2
Dubuque,13.9
Dubuque,9.8
Dubuque,15.1
Dubuque,9.5
Dubuque,3.8
Dubuque,7.4
Dubuque,4.4
Dubuque,9.7
Dubuque,11
Dubuque,16.8
Dubuque,12
Dubuque,10.1
Dubuque,13.8
Dubuque,3.2
Dubuque,11.7
Dubuque,13.6
Dubuque,5.7
Dubuque,14.9
