Gender,In,Out
male,39.1,41.4
male,36.8,45.0
female,21.8,38.6
female,28.2,37.5
male,37.9,47.3
male,38.9,40.5
male,31.8,50.1
female,26.8,36.9
male,35.1,46.4
male,39.7,45.4
female,18.6,38.9
male,36.3,36.0
female,31.9,46.4
female,32.4,35.4
female,24.5,48.1
female,28.1,44.8
male,40.4,48.1
male,44.1,47.2
male,32.8,42.3
male,23.7,51.3
female,31.5,42.9
female,19.3,37.7
male,35.9,49.0
female,36.8,42.3
male,38.6,48.4
female,19.8,40.1
female,19.5,41.5
female,29.2,45.2
female,24.2,45.7
male,37.4,44.0
female,28.4,39.1
female,25.1,36.4
male,29.4,47.9
female,34.8,43.4
male,38.5,41.8
male,40.9,48.2
female,25.8,42.5
female,33.3,41.4
female,28.4,42.5
female,26.7,44.9
male,29.2,45.9
male,31.8,43.3
female,25.9,38.3
male,42,45.8
female,36.8,46.9
female,27.3,38.4
male,36.8,50.9
female,38.2,43.2
male,30.4,48.5
male,37.8,46.2
male,31,45.1
female,21.2,35.4
male,33.5,44.9
female,33.1,46.8
male,37.2,43.3
female,29.7,34.3
male,34.2,38.7
female,32,27.5
male,32.9,49.2
male,34.3,42.4
