City,Rent,Area,Value
Los Angeles,3000,1200,300000
Los Angeles,4800,1100,380000
Los Angeles,2900,1400,280000
Los Angeles,2500,1550,320000
Los Angeles,2500,1600,290000
Los Angeles,2300,1350,250000
Los Angeles,3600,1200,330000
Los Angeles,3400,1350,340000
Los Angeles,3000,1400,320000
Los Angeles,2500,1500,310000
Los Angeles,2800,1300,280000
Los Angeles,3600,1200,300000
Los Angeles,4100,1400,380000
Los Angeles,2600,1450,290000
Los Angeles,1900,1600,250000
New York,3700,1000,390000
New York,2900,1100,380000
New York,3700,1000,370000
New York,3400,1100,400000
New York,2900,1200,380000
New York,2800,1000,320000
New York,4200,1000,400000
New York,3100,1200,400000
New York,3600,1200,410000
New York,3100,1100,350000
New York,3400,1100,400000
New York,3500,1000,340000
New York,2300,1400,340000
New York,2800,1400,420000
New York,2900,1300,390000
New York,2700,1400,380000
New York,3200,1300,400000
New York,3000,1100,410000
New York,3500,1000,340000
New York,3200,1100,320000
Chicago,1600,1300,220000
Chicago,1900,1100,250000
Chicago,1300,1600,210000
Chicago,1800,1300,250000
Chicago,1600,1600,270000
Chicago,2200,1200,280000
Chicago,1900,1300,280000
Chicago,1700,1200,250000
Chicago,2200,1100,250000
Chicago,2000,1300,260000
Chicago,1700,1300,280000
Chicago,1600,1100,210000
Chicago,1700,1300,270000
Chicago,1700,1500,290000
Chicago,1600,1400,240000
Chicago,1800,1200,230000
Chicago,1200,1500,220000
Chicago,1900,1400,260000
Chicago,1500,1200,220000
Chicago,1300,1600,210000
Chicago,2500,1100,290000
Chicago,1500,1600,240000
Chicago,1500,1300,230000
St. Louis,1200,1500,180000
St. Louis,1100,1700,190000
St. Louis,1500,1800,260000
St. Louis,1000,1800,180000
St. Louis,1500,1600,240000
St. Louis,1500,1300,200000
St. Louis,1400,1400,190000
St. Louis,1100,1800,210000
St. Louis,1300,1600,230000
St. Louis,1800,1500,260000
St. Louis,1300,1400,190000
St. Louis,1100,1700,200000
St. Louis,1800,1200,210000
St. Louis,1400,1700,260000
St. Louis,1700,1700,260000
St. Louis,1100,1600,180000
St. Louis,1400,1600,210000
St. Louis,1200,1700,200000
