Temp,IceCream,Coffee,Tacos
44,31,435,294
72,307,100,212
41,16,445,147
65,241,211,49
55,136,272,152
44,69,548,122
49,112,327,296
66,373,164,275
73,456,89,77
62,177,201,236
79,304,26,32
74,404,81,175
44,52,465,94
75,261,62,41
74,212,81,120
61,239,256,174
44,72,515,121
61,172,231,264
50,147,435,240
72,314,112,44
48,64,432,85
51,177,339,96
64,263,177,18
62,326,251,253
51,126,350,269
50,149,365,259
58,197,242,135
42,30,528,74
64,306,179,250
79,532,27,21
79,387,20,128
42,15,394,226
74,520,101,178
57,123,274,66
76,515,58,150
59,150,277,121
76,401,59,255
54,194,398,97
46,90,400,92
44,63,503,51
72,173,113,148
60,283,217,101
76,272,69,260
65,175,163,184
72,446,119,296
48,60,477,222
72,396,112,156
59,128,252,36
45,52,466,82
75,280,77,251
