Size,Effect
Medium,50.2
Small,45.0
Large,64.3
Medium,50.0
Large,44.3
Small,32.5
Medium,36.7
Large,75.7
Medium,62.0
Small,25.2
Large,45.3
Small,59.3
Small,27.6
Small,34.2
Medium,39.2
Large,58.0
Large,63.9
Medium,61.2
Large,59.7
Medium,42.8
Large,53.2
Medium,44.6
Medium,41.3
Small,43.0
Medium,31.7
Medium,40.1
Small,31.1
Medium,48.0
Large,59.6
Medium,53.3
Medium,42.8
Medium,62.5
Large,58.4
Medium,38.6
Small,37.6
Large,55.6
Large,64.8
Large,68.8
Small,43.4
Large,50.5
Medium,45.8
Small,43.4
Medium,43.4
Medium,73.5
Small,45.7
Large,65.1
Small,28.7
Small,41.7
Large,70.3
Medium,37.9
Large,65.5
Medium,64.2
Medium,50.4
Medium,48.1
Small,43.1
Large,49.0
Large,73.4
Large,44.2
Medium,41.4
Large,58.3
Large,64.3
Large,66.1
Medium,64.3
Medium,37.6
Small,26.5
Small,47.9
Small,40.4
Large,70.7
Small,43.5
Medium,50.7
Small,44.6
Medium,58.6
Small,41.0
Large,50.7
Small,40.3
Small,14.6
Small,34.3
Small,44.1
Large,68.1
Medium,57.8
Medium,29.8
Large,61.4
Large,71.0
Large,52.2
Small,45.8
Medium,37.5
Small,17.9
Large,71.7
Small,56.1
Large,52.6
Medium,47.5
Small,39.2
Large,71.8
Large,49.0
Medium,52.1
Large,69.3
Medium,64.8
Small,26.7
Large,57.0
Small,51.4
Medium,65.8
Small,37.6
Small,39.2
Small,37.0
Medium,63.9
Small,45.5
Small,39.7
Medium,53.0
Medium,58.2
Medium,43.2
Large,52.0
Medium,56.7
Medium,44.7
Small,27.2
Medium,36.3
Large,57.6
Medium,27.9
Medium,46.0
Small,43.8
Small,30.0
