MMWR Week,Deaths 2014,Deaths 2015,Deaths 2016,Deaths 2017,Deaths 2018,Deaths 2019,Deaths 2020,Deaths 2021,Deaths 2022,Deaths 2023
1,"54,065","61,763","55,865","59,764","66,142","58,305","60,179","87,074","79,866","69,134"
2,"56,353","61,163","55,596","60,982","67,501","58,363","60,735","87,415","85,133","66,490"
3,"54,769","58,652","55,231","59,294","64,650","58,220","59,363","83,703","85,747","64,321"
4,"54,223","57,297","55,665","58,051","62,784","57,910","59,162","79,202","85,126","62,537"
5,"54,074","57,367","55,142","58,437","60,980","58,153","58,834","76,514","81,392","62,865"
6,"53,484","56,668","55,465","59,043","61,115","58,525","59,491","71,513","77,317","62,949"
7,"53,910","56,678","56,176","58,482","59,784","58,004","58,815","69,529","71,068","61,861"
8,"52,752","56,334","55,203","58,290","57,798","58,009","58,912","66,740","66,225","62,131"
9,"51,768","56,509","55,935","57,257","56,697","57,975","59,334","63,703","64,574","61,419"
10,"52,163","55,741","56,233","57,480","57,097","58,547","59,716","61,867","61,932","60,801"
11,"51,912","54,462","54,585","56,658","56,331","57,921","58,672","60,374","60,660","61,132"
12,"51,487","53,404","54,814","57,048","55,771","57,100","59,220","60,841","58,674","60,800"
13,"50,945","53,210","53,946","55,706","54,919","56,680","63,026","58,699","58,157","60,195"
14,"50,948","52,839","54,074","55,161","55,296","56,602","72,294","60,998","57,946","59,039"
15,"50,793","52,881","53,495","54,863","55,228","55,496","79,113","59,174","57,937","59,651"
16,"49,976","51,626","53,164","53,071","54,040","54,472","76,809","60,260","56,807","58,433"
17,"49,997","51,488","51,082","53,297","53,729","53,661","73,909","59,833","57,413","57,761"
18,"49,738","51,693","51,282","52,658","53,742","53,991","69,304","59,014","57,571","58,007"
19,"50,430","50,716","51,006","51,987","52,109","53,482","66,814","58,469","58,005","57,796"
20,"48,003","49,396","50,471","52,481","50,621","53,579","64,479","58,774","57,785","56,617"
21,"48,689","49,849","50,492","50,976","50,932","53,697","61,642","57,344","57,200","55,684"
22,"48,254","49,260","49,714","51,257","51,046","52,728","59,682","57,459","57,700","56,744"
23,"47,831","49,813","49,918","51,424","52,003","53,142","58,908","57,160","58,184","56,192"
24,"47,907","49,117","49,915","50,799","51,389","52,648","58,034","57,262","57,941","56,145"
25,"47,698","49,071","49,625","51,195","51,046","52,292","57,999","56,933","58,438","55,616"
26,"47,539","49,247","49,754","50,618","50,858","52,212","58,510","57,530","58,258","55,477"
27,"47,535","48,950","49,706","50,961","51,686","52,344","59,837","57,219","58,309","55,651"
28,"47,595","49,266","49,639","49,975","51,195","51,936","61,962","57,253","58,600","55,170"
29,"47,320","48,661","49,284","50,132","50,612","51,653","63,177","58,439","59,936","55,151"
30,"47,259","48,714","49,701","49,364","50,276","51,663","64,249","60,317","58,926","54,992"
31,"47,094","48,323","49,510","50,091","50,640","51,412","64,235","63,801","59,350","55,102"
32,"47,201","48,194","49,747","50,238","50,970","51,749","63,719","67,050","58,773","55,306"
33,"46,852","48,468","49,816","50,188","50,305","51,026","63,665","69,962","58,615","54,466"
34,"46,863","48,522","49,519","49,517","50,460","51,024","62,562","72,189","58,419","52,892"
35,"46,751","48,753","49,591","50,832","50,612","51,164","61,104","73,544","58,248","50,814"
36,"47,521","48,820","50,084","50,983","50,301","51,838","60,247","73,765","58,830",
37,"47,141","48,972","49,926","51,696","51,084","51,636","59,665","73,317","58,397",
38,"48,223","49,307","49,892","51,230","51,584","51,760","59,753","72,188","58,885",
39,"48,527","48,888","50,267","51,344","50,960","52,762","60,613","71,350","58,687",
40,"48,457","51,096","51,414","52,112","52,361","52,564","59,822","69,136","59,702",
41,"49,499","50,038","52,144","51,582","51,851","53,092","61,779","67,551","59,870",
42,"49,427","50,927","51,462","52,234","52,982","54,342","60,643","67,064","60,247",
43,"49,252","50,484","51,879","52,551","53,764","54,052","62,189","66,503","60,193",
44,"49,193","51,179","51,768","53,680","53,644","54,087","63,425","66,624","61,211",
45,"51,214","50,753","52,546","53,261","53,561","55,707","67,590","67,467","61,213",
46,"50,735","51,813","53,464","53,775","54,703","55,893","68,823","66,990","61,802",
47,"52,722","51,496","53,171","54,122","54,852","56,200","71,676","67,969","64,789",
48,"52,075","52,070","54,611","54,762","55,064","55,471","73,327","70,202","65,953",
49,"52,979","53,755","55,173","55,597","55,970","57,308","77,429","72,148","67,227",
50,"53,714","52,273","56,024","57,376","56,394","57,665","82,025","71,336","66,574",
51,"54,861","53,216","56,757","59,506","56,532","57,429","82,938","72,330","68,138",
52,"56,239","52,615","57,658","61,093","56,030","58,466","84,371","74,452","70,366",
53,"59,457",,,,,,"87,033",,,
